Table 1 - Methodology. One column per model. Representative versions STEAM3 / SEIMv2.2 / MariTEAM / OECD (2025 bottom-up) / SAVE / Fourth IMO GHG Study / emLab-GFW (v20260714),,,,,,,
Attribute,STEAM,SEIM,MariTEAM,OECD bottom-up,SAVE (ICCT),Fourth IMO GHG Study,emLab/GFW
Main engine power,Resistance-based,Load-based,Resistance-based,Load-based,Load-based,Load-based,Load-based
Main engine types,"No specific SSD/MSD/HSD taxonomy. Baseline SFOC is engine-model-specific from manufacturer data where available. Otherwise derived from the Second IMO GHG Study as a function of stroke type (i.e., 2 or 4), engine age and power. Build year considered.","SSD, MSD, HSD engine types defining baseline SFOC and emissions factors. Build year considered.","No specific SSD/MSD/HSD taxonomy. Engines are classified by stroke type (i.e., 2 or 4) and RPM, which define the emission factors. Whether the baseline SFOC is conditioned on engine type is not specified. Build year considered.",Engine types defining baseline SFOC and emissions factors following the fourth IMO GHG Study. Build year considered.,"9 engine types (SSD, MSD, HSD, LPDF 4-stroke, LPDF 2-stroke, HPDF 2-stroke, LBSI, GT, ST) defining baseline SFOC and emission factors. Build year considered.","12 main engine types (SSD, MSD, HSD; LNG-Otto SS, LNG-Otto MS, LNG-Diesel, LBSI; methanol SS/MS; gas turbine; steam turbine; sail; batteries) contributes to baseline SFOC and emissions factors. Build year considered.","Vessels are broadly categorized as oil, gas, or turbine engine types. Oil engines are further disaggregated by SSD, MSD, HSD using engine speed. Vessel build year and engine speed are used to categorize each vessel's IMO Tier."
Fuel types,"HFO and MDO/MGO distinguished via fuel sulphur content, not via SFOC baseline which is engine-driven. LNG handled separately as a dual-fuel engine mode.","HFO, MGO, LNG fuel types defining base SFOC and emissions factors","HFO, MGO, and LNG fuel types define the base emission factors. Whether baseline SFOC is conditioned by fuel type is not specified.",Fuel types defining base SFOC and emissions factors following the fourth IMO GHG Study.,"6 fuel types (HFO, MDO, VLSFO, LNG + minor methanol/nuclear) defining baseline SFOC and emission factors.","6 allocated fuels (HFO, MDO, LNG + minor methanol/nuclear/coal) contributes to baseline SFOC and emissions factors","Fuel types are not explicitly modeled due to lack of available vessel-level fuel type data. For a given engine type, SFOC values and emissions factors are therefore calculated as the average value from across the fuel types associated with each engine type. Values are therefore calculated as the average from across HFO, distillate, and 2015+ ECA distillate. LNG was not included as a fuel type due to the lack of available vessel-level fuel type data, the very limited number of vessels that currently use LNG, and the vastly different emissions factors this fuel type produces."
Main engine correction factors,Draft embedded in the resistance model. Weather and fouling not addressed for the global inventory. Weather effects included in recent model updates.,"Draft and weather corrections applied by vessel class, with constant fouling correction.",Draft embedded in the resistance model. Added resistance from waves and wind driven by real weather data. Time varying hull fouling corrections.,"Draft vessel-specific corrections derived from AIS messages, weather corrections by vessel class, constant fouling correction, and power corrections for large container and cruise ships.","Draft vessel-specific annual average corrections, weather corrections applied at the AIS message level by distance to shore, constant fouling correction by ship age.","Draft voyage-specific corrections, weather corrections by vessel class and size, and constant fouling correction.","Draft corrections by vessel class, weather corrections applied at the AIS message level by distance to shore, and constant fouling correction. A specific correction factor is applied to trawler and dredger vessel classes while actively fishing."
SFOC (Specific Fuel Oil Consumption),"SFOC estimated using a quadratic load-correction polynomial (introduced in the Third IMO GHG Study), applied to main-engine power to derive fuel consumption.","SFOC estimated using a quadratic load-correction polynomial (introduced in the Third IMO GHG Study), applied to main-engine power to derive fuel consumption.","Fuel consumption is calculated from the engine load condition and the SFOC. However, the source and functional form of the SFOC values are not specified.","SFOC estimated using a quadratic load-correction polynomial (introduced in the Third IMO GHG Study), applied to main-engine power to derive fuel consumption.","SFOC estimated using a quadratic load-correction polynomial (introduced in the Third IMO GHG Study), applied to main-engine power to derive fuel consumption.","SFOC estimated using a quadratic load-correction polynomial (introduced in the Third IMO GHG Study), applied to main-engine power to derive fuel consumption.","SFOC estimated using a quadratic load-correction polynomial (introduced in the Third IMO GHG Study), applied to main-engine power to derive fuel consumption."
Main engine low-load adjustment,"Continuous, species-specific load-dependent emission curves. For CO₂ and SOx load dependence carried by the SFOC polynomial.","Low-load adjustment factors (LLAF) for loads <20%, species-specific. CO₂ and SOx load dependence carried by the SFOC polynomial.","Continuous, species-specific load-dependent emission curves. CO₂ and SOx load dependence carried by the SFOC.",CO₂ load dependence carried by the SFOC.,"Low-load adjustment factors (LLAF) for loads <20%, species-specific. CO₂ and SOx load dependence carried by the SFOC polynomial.","Low-load adjustment factors (LLAF) for loads <20%, species-specific. CO₂ and SOx load dependence carried by the SFOC polynomial. BC follows its own load-dependent function. At loads below 7%, main engine fuel consumption and emissions are assumed to be zero, with the entire energy demand shifted to the auxiliary systems.","Low-load adjustment factors (LLAF) for loads <20%, species-specific. CO2 and SOx load dependence carried by the SFOC polynomial."
Auxiliary engine and boiler power,Aux power estimated from STEAM's own vessel classes and operational phase base values. Boiler folded into aux.,"Auxiliary-engine and boiler output power from IMO Fourth GHG Study recommended values by vessel class, size category and operational phase","Aux power derived from the ship's installed main-engine power, no operational phases considered, neither ship class or size. Boilers modelled for tankers and container ships.","Auxiliary-engine and boiler output power from IMO Fourth GHG Study recommended values by vessel class, size category and operational phase","Auxiliary-engine and boiler output power from Fourth IMO GHG Study recommended values by vessel class, size category, and operational phase. Shore power emissions (at-berth) not modelled.","Auxiliary-engine and boiler output power from recommended values by vessel class, size category and operational phase","Auxiliary-engine and boiler output power from IMO Fourth GHG Study recommended values by vessel class, size category and operational phase"
"Emission control areas, policy regulations, and abatement technology","Fuel-sulphur limits applied geographically inside ECAs plus a stricter at-berth limit. Scrubbers and dual fuel engines modelled per vessel when available. 2015 inventory, pre-2020-cap.",Fuel-sulphur limits are applied geographically inside Emission Control Areas. Fleet-wide SO₂/PM reduction following the 2020 global sulphur cap. NOx is set by each engine's IMO Tier emission limit.,"Fuel-sulphur content and NOx limits applied geographically inside ECAs. 2017 inventory, pre-2020-cap.","CO2 is the only gas modeled, therefore no fuel-sulphur content and NOx limits are considered.",Fuel-sulphur content and NOx limits applied geographically inside ECAs. NOx is set by each engine's IMO Tier emission limit. 2020 IMO global sulphur cap modelled explicitly. Scrubbers modelled per vessel when available. Use of yearly global averages for fuel sulphur content derived from the IMO monitoring program.,Fuel-sulphur content and NOx limits applied geographically inside ECAs. NOx is set by each engine's IMO Tier emission limit. Use of yearly global averages for fuel sulphur content derived from the IMO monitoring program,"2020 IMO global sulphur cap modelled explicitly by adjusting the sulphur content of fuel from pre-2020 to post-2020, which directly affects SOx, PM2.5, and PM10 emissions factors. NOx emissions factors are set according to each engine's IMO Tier (leveraging information on vessel build year and engine speed). ECA sulphur limits are not explicitly included spatially, but are included non-spatially as part of a globally-averaged emissions factors for each pollutant and engine type."
Imputing for vessels without AIS data,"Relies exclusively on AIS, without imputing or estimating emissions from missed activity.","Relies exclusively on AIS, without imputing or estimating emissions from missed activity.","Relies exclusively on AIS and port calling data, without imputing or estimating emissions from missed activity.","For small registered vessels missing from the AIS feed, activity and emissions are imputed using data from explicitly modelled vessels of the same type and size (an average of 14,100 vessels per year), following the Fourth IMO GHG study.","For small registered vessels missing from the AIS feed, activity and emissions are imputed using data from explicitly modelled vessels of the same type and size, following the Fourth IMO GHG study (no vessel counts available).","For small registered vessels missing from the AIS feed, activity and emissions are imputed using data from explicitly modelled vessels of the same type and size (an average of 27,010 vessels per year).","Vessel emissions from vessels without AIS activity are estimated using Sentinel-1 satellite imagery, machine learning, and data fusion techniques (non-broadcasting vessel emissions modeling framework)."
Validation,"Validated in earlier STEAM versions against a limited sample of in-situ measurements (engine power, fuel, and emissions), literature comparison and against regional EMEP inventory. At global scale (STEAM3) fuel use was benchmarked against IEA statistics and the Third IMO GHG Study, and modelled maritime transport work against UNCTAD seaborne-trade statistics. Recent model update to study the impact ambient conditions on emissions estimates validated fuel consumption results against EU MRV dataset (6,445 vessel-year samples).","No in-situ measurement validation. Validated by inventory cross-comparison (global totals and trends against EDGAR, CEDS, and the IMO Fourth GHG Study) and by an activity/fleet benchmark against UNCTAD.",Validated with in-situ measurements on engine power for a single vessel; inventory cross-comparison against the IMO Fourth GHG Study (for the same year) and STEAM3 (for a different year).,"Compared against EU MRV in-situ measurements aggregated by vessel class (totals comparison, not per-vessel-year). Validated by benchmarks (global totals against IEA and the IMO Fourth GHG Study), activity/fleet benchmark (against UNCTAD), literature comparison (average efficiencies by vessel class and size against IMO 2018), and country-level results against national Air Emission Accounts (AEAs) for 35+ countries.","Validated against EU MRV in-situ measurements per-vessel-year carbon intensity. Benchmarked against IMO DCS aggregated fuel consumption for ships ≥5,000 GT.","Validated against EU MRV yearly aggregated in-situ measurements of fuel consumption and emissions (9,739 vessels from 2018 data), as well as the Vessels Continuous Monitoring Dataset (CMD) in-situ measurements of engine power and fuel consumption (94 vessels). Also benchmarked against global emission totals from the Third IMO GHG Study and the ICCT inventory, and against global fuel sales data from the IEA and UNSD.","Validated against two extensive in-situ measurement datasets: 1) registered ship-specific data (15,679 vessels), and 2) per-vessel-year aggregated EU MRV in-situ measurements (20,432 vessel-year samples). Global totals were cross-compared against STEAM, SEIM, MariTEAM, SAVE, OECD and IMO bottom-up inventories and top-down EDGAR and CEDS.
"
